Title,pos,neg,k=2,k=3,k=4,k=5
Looper,0.040999999999999995,0.228,1,0,2,1
Daffy Duck Slept Here,0.036000000000000004,0.11800000000000001,1,2,1,4
Lady Cocoa,0.0,0.11,1,2,1,4
Soorma Bhopali,0.085,0.062,0,2,3,0
Carry On Teacher,0.134,0.08199999999999999,0,1,0,2
The Living Dead,0.068,0.12300000000000001,1,2,1,4
Confidential Lady,0.107,0.055,0,2,3,0
J'ai quelque chose à vous dire,0.109,0.09,0,2,1,2
Sella Turcica,0.023,0.171,1,0,2,4
Bright Young Things,0.11800000000000001,0.136,1,0,1,2
Condemned to Live,0.044000000000000004,0.162,1,0,1,4
Future Zone,0.13699999999999998,0.262,1,0,2,1
Cadence,0.047,0.276,1,0,2,1
Stroker Ace,0.132,0.054000000000000006,0,1,0,3
Mona Lisa,0.133,0.102,0,1,0,2
Chenkol,0.079,0.192,1,0,2,1
Isabella,0.096,0.209,1,0,2,1
Crossover,0.131,0.102,0,1,0,2
Butterflies,0.07200000000000001,0.254,1,0,2,1
Towed in a Hole,0.131,0.013999999999999999,0,1,0,3
Le Mozart des Pickpockets,0.033,0.11800000000000001,1,2,1,4
Late Spring,0.139,0.04,0,1,0,3
Hare Remover,0.085,0.15,1,0,1,4
The Left Handed Gun,0.052000000000000005,0.217,1,0,2,1
They Met in Bombay,0.113,0.11199999999999999,0,2,1,2
For Love of the Game,0.133,0.073,0,1,0,2
This Sporting Life,0.092,0.17300000000000001,1,0,1,1
Buried Alive,0.07,0.146,1,0,1,4
Kisses and Caroms,0.19,0.0,0,1,0,3
Vulgaria,0.073,0.052000000000000005,0,2,3,0
Cronaca di un amore,0.14300000000000002,0.11599999999999999,0,1,0,2
Brigands,0.1,0.235,1,0,2,1
Café Cantante,0.10300000000000001,0.08,0,2,3,2
Operation Petticoat,0.07200000000000001,0.09,0,2,1,4
The Elusive Pimpernel,0.113,0.094,0,1,1,2
Surviving: A Family in Crisis,0.109,0.22399999999999998,1,0,2,1
